,0
cp,0.13853290513010708
thal,0.11975838977761409
ca,0.11538065587643283
thalach,0.1145766205880388
oldpeak,0.10394144013858206
age,0.08859080708812006
chol,0.08110444965308418
trestbps,0.07429827570592847
exang,0.060265799634246386
slope,0.04195738101247043
sex,0.032543375731877586
restecg,0.019094458121269697
fbs,0.009955441542228374
