model,accuracy,precision,recall,f1,roc_auc
random_forest,0.9180327868852459,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9577922077922076
logistic,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
svm,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437
decision_tree,0.7704918032786885,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.777056277056277
